X,Y,OBJECTID,GlobalID,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
-8751477.05096155,4270402.82790215,661227,77a678dd-43b7-41f6-8a30-d2166700134d,P22000306,LARCENY,35E,Larceny/Theft from Coin-Operated Machine,CRIMES AGAINST PROPERTY,1600 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/01/03 00:37:00+00,2022,1,2,19,Sunday,35.7800804880001,-78.615855935,RPD,2022/01/08 16:41:30.150+00
-8745559.21232073,4272922.08688604,661288,3fdfe4c2-5df6-4ead-9664-69c9108b80fa,P22000344,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4400 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/01/03 13:16:00+00,2022,1,3,8,Monday,35.798438064,-78.562695086,RPD,2023/04/27 04:07:36.550+00
-8753968.68584695,4270122.81671377,661292,8f6ab07b-bdd6-4748-bb9a-51eeff52defa,P22000353,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,200 BLOCK S WILMINGTON ST,RALEIGH,RALEIGH,Downtown,2022/01/03 13:51:00+00,2022,1,3,8,Monday,35.7780398140001,-78.6382386719999,RPD,2022/01/20 17:31:02.820+00
-8754995.58466111,4270780.57819463,661293,72950907-e5e6-43a7-b646-26c71c3f3a8d,P22000355,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,200 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Downtown,2022/01/03 14:19:00+00,2022,1,3,9,Monday,35.7828333850001,-78.647463461,RPD,2022/01/12 01:12:00.440+00
-8756379.61365625,4271889.45821329,661297,78df1753-54b5-4747-9c75-9cc2c8642a7a,P22000363,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2000 BLOCK CAMERON ST,RALEIGH,RALEIGH,Southwest,2022/01/03 15:07:00+00,2022,1,3,10,Monday,0,0,RPD,2024/12/10 19:20:26.060+00
-8745505.54118672,4272942.49287664,661299,f26859f7-f588-4ad9-a295-3cd11401b345,P22000366,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4400 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Northeast,2022/01/03 15:34:00+00,2022,1,3,10,Monday,35.798586743,-78.5622129499999,RPD,2023/04/27 04:07:43.687+00
-8747587.37763442,4280328.94728074,661305,3a2f8cc4-08d8-4cc5-b214-4762da590d52,P22000379,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4900 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,North,2022/01/03 16:45:00+00,2022,1,3,11,Monday,0,0,RPD,2025/02/19 21:57:06.020+00
-8750169.71107681,4272301.99556524,661325,0e720c07-08e8-4835-8300-34b4f1120aa2,P22000437,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2400 BLOCK REMINGTON RD,RALEIGH,RALEIGH,Southeast,2022/01/03 23:07:00+00,2022,1,3,18,Monday,0,0,RPD,2025/02/28 14:25:40.480+00
-8754499.97960142,4282193.06008677,661347,f52044bd-e552-4299-bdd2-215eee7b333c,P22000482,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,200 BLOCK RIDGEWOOD DR,RALEIGH,RALEIGH,North,2022/01/04 06:48:00+00,2022,1,4,1,Tuesday,35.8659581470001,-78.6430113649999,RPD,2022/01/08 16:49:56.080+00
-8746827.2442914,4281846.81891879,661402,d43538e2-1b08-44ce-ac72-1f42657a6600,P22000415,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,3800 BLOCK SUMNER BLVD,RALEIGH,RALEIGH,Northeast,2022/01/03 20:18:00+00,2022,1,3,15,Monday,35.863437521,-78.574086011,RPD,2022/01/06 20:05:33.750+00
-8755171.52611818,4266094.5046213,661412,74733b3b-eef3-41d9-99c0-5374b17b7b75,P22000490,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,2600 BLOCK S SAUNDERS ST,RALEIGH,RALEIGH,Southwest,2022/01/04 11:44:00+00,2022,1,4,6,Tuesday,35.7486763630001,-78.64904397,RPD,2022/01/08 16:50:48.257+00
-8751443.25826033,4280256.5348633,661413,2df7bb6a-eb23-4652-bf35-c8c2a108f079,P22000492,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1300 BLOCK PADDOCK DR,RALEIGH,RALEIGH,North,2022/01/04 12:09:00+00,2022,1,4,7,Tuesday,35.8518592680001,-78.61555237,RPD,2022/01/08 16:50:59.049+00
-8745044.71690006,4292629.3229148,661424,ff436569-dbec-45f0-8e0b-49464feec576,P22000520,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2900 BLOCK WAKEFIELD PINES DR,RALEIGH,RALEIGH,Northeast,2022/01/04 15:43:00+00,2022,1,4,10,Tuesday,35.9418962120001,-78.558073295,RPD,2022/04/25 20:39:21.190+00
-8747786.59978187,4277933.10520396,661428,d329d6da-a39c-4e5e-8eee-bb109d964590,P22000530,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,3900 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,North,2022/01/04 17:37:00+00,2022,1,4,12,Tuesday,35.8349402210001,-78.582704048,RPD,2022/01/08 16:53:07.857+00
-8770320.08079666,4288126.6838927,661429,439d2a50-fe55-42e4-a3aa-5dc0aef28044,P22000531,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,8200 BLOCK BRIER CREEK PKWY,RALEIGH,RALEIGH,Northwest,2022/01/04 18:13:00+00,2022,1,4,13,Tuesday,35.909142301,-78.7851257519999,RPD,2022/02/21 13:50:35.217+00
-8753885.12353723,4269779.58581059,661446,f51bb7c4-420e-4a95-8917-ca8bb9af5a55,P22000587,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,100 BLOCK E DAVIE ST,RALEIGH,RALEIGH,Downtown,2022/01/04 23:20:00+00,2022,1,4,18,Tuesday,35.775538334,-78.637488019,RPD,2022/12/06 18:09:52.769+00
-8751400.40348464,4286278.19249973,661451,0e9ac422-6d0e-4982-b526-8b1bc91e789c,P22000602,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,8500 BLOCK FALLS OF NEUSE RD,RALEIGH,RALEIGH,North,2022/01/05 00:34:00+00,2022,1,4,19,Tuesday,35.895691743,-78.615167399,RPD,2022/01/08 16:56:11.567+00
-8758233.5106448,4278578.48581328,661460,c9405cf7-2484-409f-89fc-19938de354d0,P22000612,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4300 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Northwest,2022/01/04 23:39:00+00,2022,1,4,18,Tuesday,35.839640198,-78.676550245,RPD,2022/01/08 16:57:23.849+00
-8758233.5106448,4278578.48581328,661461,78813587-ff7d-4e60-8ae6-3ad261193bcc,P22000613,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4300 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Northwest,2022/01/04 23:36:00+00,2022,1,4,18,Tuesday,35.839640198,-78.676550245,RPD,2022/01/08 16:57:34.550+00
-8744006.85200287,4272287.72501134,661475,ed6ea737-757e-4684-8deb-bdb5cc5bbd4a,P22000632,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,5200 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/01/05 07:14:00+00,2022,1,5,2,Wednesday,35.7938159350001,-78.548749996,RPD,2022/02/05 02:53:52.053+00
-8744006.85200287,4272287.72501134,661476,7107f4ba-67bb-4a81-a971-e193cbbe2bc4,P22000633,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,5200 BLOCK NEW BERN AV,RALEIGH,RALEIGH,Southeast,2022/01/05 07:45:00+00,2022,1,5,2,Wednesday,35.7938159350001,-78.548749996,RPD,2023/02/18 13:26:59.670+00
-8770009.44475948,4288531.18297633,661512,95bde859-8f1f-469d-8d69-a5197cb33699,P22000592,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,8000 BLOCK BRIER CREEK PKWY,RALEIGH,RALEIGH,Northwest,2022/01/04 23:16:00+00,2022,1,4,18,Tuesday,35.9120853360001,-78.782335261,RPD,2022/01/08 16:55:36.980+00
-8750007.46191711,4278200.89569157,661529,8fbbc048-b373-4555-9740-09f4cef26f1b,P22000658,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,2100 BLOCK SINGLETON INDUSTRIAL DR,RALEIGH,RALEIGH,North,2022/01/05 12:13:00+00,2022,1,5,7,Wednesday,35.836890436,-78.602654392,RPD,2022/01/08 17:01:33.053+00
-8749641.83928348,4275489.69577889,661534,b9a34f59-0d61-4492-8525-3a4ca00f5fdb,P22000668,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2700 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,North,2022/01/05 13:43:00+00,2022,1,5,8,Wednesday,35.817143597,-78.5993699479999,RPD,2022/01/08 17:02:05.070+00
-8739321.66365708,4286138.25982007,661536,338e1eef-0284-4b88-9e69-07d2dd78fac3,P22000674,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2900 BLOCK FORESTVILLE RD,WAKE COUNTY,RALEIGH,Northeast,2022/01/05 13:26:00+00,2022,1,5,8,Wednesday,35.8946734290001,-78.506662233,RPD,2022/05/31 18:55:00.920+00
-8759501.55920207,4269590.59031853,661537,68662456-0f9c-47c1-b11d-c22ea74f0b8e,P22000678,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2800 BLOCK CONIFER DR,RALEIGH,RALEIGH,Southwest,2022/01/05 14:08:00+00,2022,1,5,9,Wednesday,35.774160894,-78.6879413189999,RPD,2022/01/08 17:02:50.777+00
-8748366.7816058,4271478.2150407,661538,c7ba02d0-2a8f-4bab-8dc3-1300d892fab7,P22000679,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,3100 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/01/05 14:08:00+00,2022,1,5,9,Wednesday,35.7879172400001,-78.5879159099999,RPD,2022/01/08 17:03:02.980+00
-8761404.82371312,4270524.4799296,661541,844b5cb6-1301-4f94-8dbc-4c0677277cee,P22000700,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1200 BLOCK TEAKWOOD PL,RALEIGH,RALEIGH,Southwest,2022/01/05 14:45:00+00,2022,1,5,9,Wednesday,35.7809670510001,-78.7050386349999,RPD,2022/04/21 00:36:52.640+00
-8766658.52815679,4287331.46177925,661544,f36ea49e-9374-43fc-b580-925d94551f63,P22000706,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,6100 BLOCK WESTGATE RD,RALEIGH,RALEIGH,Northwest,2022/01/05 15:59:00+00,2022,1,5,10,Wednesday,35.9033561430001,-78.752233465,RPD,2022/09/29 18:19:15.013+00
-8754084.14330585,4269970.94214237,661547,71024735-61c3-4f94-95b7-5eadfa99c6cc,P22000710,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,300 BLOCK FAYETTEVILLE ST,RALEIGH,RALEIGH,Downtown,2022/01/05 15:28:00+00,2022,1,5,10,Wednesday,35.7769329560001,-78.6392758439999,RPD,2022/01/11 02:43:08.293+00
-8750277.54504303,4285452.31404385,661549,9945008e-864f-47f7-8580-067b8dfceae1,P22000712,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,7700 BLOCK RAINWATER RD,RALEIGH,RALEIGH,North,2022/01/05 15:45:00+00,2022,1,5,10,Wednesday,35.889681495,-78.6050805899999,RPD,2022/02/09 17:29:06.747+00
-8748366.7816058,4271478.2150407,661550,3d42e161-1731-4c06-8a06-b0a746b8dd74,P22000713,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,3100 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/01/05 16:16:00+00,2022,1,5,11,Wednesday,35.7879172400001,-78.5879159099999,RPD,2023/04/27 04:08:19.937+00
